name,location,dining rating,dining reviews,cuisine,price,address,phone,url
Kakapo,"Ambawatta One Complex, Mehrauli, New Delhi",4,652,"Oriental, Italian, Mediterranean, Continental","₹3,000 for two","House 5/5, 2nd Floor, Ward 1, Ambawatta One Complex, Kalka Das Marg, Mehrauli, New Delhi",919319995829,https://www.zomato.com/ncr/kakapo-mehrauli-new-delhi/info
Monsoon By Cafe Lota,"Worldmark 1, Aerocity, New Delhi",4.9,458,"North Indian, Modern Indian, Beverages","₹2,500 for two","R4, Lower Ground Floor, Worldmark 1, Aerocity, New Delhi",918287143752,https://www.zomato.com/ncr/monsoon-by-cafe-lota-aerocity-new-delhi/info
Unwind Cafe,"Ansal Plaza Mall, Khel Gaon Marg, New Delhi",4.2,1107,"European, Asian, North Indian, Middle Eastern, Italian, Pizza, Pasta, Beverages","₹1,800 for two","First Floor, Ansal Plaza Mall, Khel Gaon Marg, New Delhi",918448988002,https://www.zomato.com/ncr/unwind-cafe-khel-gaon-marg-new-delhi/info
Monkey Bar,"Vasant Kunj, New Delhi",4.4,4794,"North Indian, Burger, Pizza, Italian, Bar Food","₹2,800 for two","Plot 11, Upper Ground Floor, LSC, Vasant Kunj, New Delhi",911141095155,https://www.zomato.com/ncr/monkey-bar-vasant-kunj-new-delhi/info
PizzaExpress,"DLF Mall of India, Sector 18, Noida",4.3,6295,"Pizza, Pasta, Italian, Salad, Desserts, Coffee, Beverages, Cafe","₹1,200 for two","D-421 Level 3 Dlf Mall Of India Block M Sector 18, Noida",918655769472,https://www.zomato.com/ncr/pizzaexpress-sector-18-noida/info
Breathe & Bougie,"Mehrauli, New Delhi",4.2,58,European,"₹1,400 for two","Second Floor, Property No H 5/3, H 5/4, Back Side Ward No 1, Ambawatta One, Kalka Das Marg, Mehrauli, New Delhi",919289676888,https://www.zomato.com/ncr/breathe-bougie-mehrauli-new-delhi/info
The Establishment - Clubhouse & Kitchen,"Amrapali Leisure Valley, Greater Noida",4.5,315,"Italian, Continental, Modern Indian, Asian, Sushi, Pizza, Beverages, Salad","₹1,800 for two","Shop 15 UGF, Tower D And F Golden - I Plot 11 Techzone 04 Noida West Dadri Teshil -2, Gautam Buddha Nagar, Amrapali Leisure Valley, Greater Noida",917669012224,https://www.zomato.com/ncr/the-establishment-clubhouse-kitchen-amrapali-leisure-valley-greater-noida/info
Lost Lemons,"Sector 29, Gurgaon",4.1,869,"North Indian, European, Mediterranean","₹1,800 for two","SCO 27/28, Sector 29, Gurgaon",918929787494,https://www.zomato.com/ncr/lost-lemons-sector-29/info
EBISU Fine Japanese Cuisine,"Saket, New Delhi",4.4,660,"Japanese, Sushi, Seafood, Salad, Desserts","₹2,000 for two","Salcon, Rasvilas, Saket District Centre, District Centre, Sector 6, Pushp Vihar, Saket, New Delhi",919311127741,https://www.zomato.com/ncr/ebisu-fine-japanese-cuisine-saket-new-delhi/info
Mamagoto,"Cyber Hub, DLF Cyber City, Gurgaon",4.4,3583,"Asian, Japanese, Seafood, Rolls, Salad, Desserts, Beverages, Chinese","₹1,400 for two","Unit 2 C, Ground Floor, Building 10, Cyber Hub, DLF Cyber City, Gurgaon",919599933602,https://www.zomato.com/ncr/mamagoto-dlf-cyber-city/info
Kala Cafe,"Parliament Street, New Delhi",2.5,89,"North Indian, South Indian, Chinese, Pizza, Fast Food, Street Food, Desserts, Beverages",₹500 for two,"Indira Gandhi National Centre For The Arts, Near Western Court, Parliament Street, New Delhi",918178675635,https://www.zomato.com/ncr/kala-cafe-parliament-street-new-delhi/info
Pizza By Singh,"Sector 14, Gurgaon",3.6,12,"Pizza, Burger, Wraps, Fast Food, Shake, Beverages",₹500 for two,"2318R, Ground Floor, Gali 03, Rajiv Nagar, Sector 14, Gurgaon",919958397682,https://www.zomato.com/ncr/pizza-by-singh-1-sector-14-gurgaon/info
Cocoba,"SDA, New Delhi",4.2,126,"Cafe, Mediterranean, Asian, South Indian, Goan, Mangalorean, Kerala, Desserts","₹1,800 for two","C-18, 1St Floor, Safdar Jung Development Area, Bhim Nagar Shopping Center, SDA, New Delhi",919773500204,https://www.zomato.com/ncr/cocoba-sda-new-delhi/info
Deja Brew,"M Block Market, Greater Kailash 2 (GK2), New Delhi",4.6,2809,"Continental, Asian, Pasta, Pizza, Beverages, Burger, Desserts, Mediterranean","₹3,400 for two","M-20, Block M, Greater Kailash 2 (GK 2), New Delhi",918447441441,https://www.zomato.com/ncr/deja-brew-greater-kailash-gk-2-new-delhi/info
NIKO,"The Kitchens, Gurgaon",4.2,117,"Asian, Japanese, Sushi, Beverages, Salad, Desserts","₹2,500 for two","Unit 3, Ground Floor, Tower-A, Global Gateway Towers, Sector 26, Gurgaon",919910016717,https://www.zomato.com/ncr/niko-sector-26-gurgaon/info
Whisky Samba,"DLF Horizon Center, Gurgaon",4.2,1900,"Asian, Sushi, Japanese, Seafood, Modern Indian, Finger Food, Beverages, Desserts","₹5,000 for two","Shop 103, 104, Two Horizon Center, Golf Course Road, Gurgaon",919971773535,https://www.zomato.com/ncr/whisky-samba-golf-course-road/info
La Vie Douce,"M3M 65th Avenue, Gurgaon",4.7,469,"Continental, Italian, Desserts, European, Coffee, Cafe","₹1,500 for two","R1, 28, Ground Floor, M3M 65th Avenue, Sector 65, Gurgaon",919910836657,https://www.zomato.com/ncr/la-vie-douce-sector-65-gurgaon/info
Pind Balluchi,"Sector 29, Gurgaon",4,2205,"North Indian, Mughlai, Kebab, Chinese, Biryani",₹800 for two,"Near Leisure Valley, City Centre, Vatika Grand, Sector 29, Gurgaon",919958292942,https://www.zomato.com/ncr/pind-balluchi-sector-29-gurgaon/info
"""TALK""","One Golden Mile, Netaji Nagar, New Delhi",4.1,119,"European, Asian","₹3,000 for two","One Golden Mile, Block A, Netaji Nagar, New Delhi",+919289333086‬,https://www.zomato.com/ncr/talk-netaji-nagar-new-delhi/info
United Coffee House Rewind,"Pacific Mall (Tagore Garden), New Delhi",4.2,1000,"North Indian, Continental, Asian, Salad, Italian, Seafood, Desserts, Beverages","₹2,300 for two","Second Floor, Pacific Mall, Najafgarh Road, Tagore Garden, New Delhi",919625998526,https://www.zomato.com/ncr/united-coffee-house-rewind-tagore-garden-new-delhi/info
Hamoni : Cafe By The Greens,"Sector 23, Gurgaon",4.3,1092,"Cafe, North Indian, Italian, Chinese, Fast Food, Salad, Asian, Desserts","₹1,500 for two","CK Farm, Carterpuri Village, Sector 23A, Near Sector 23, Gurgaon",917290038887,https://www.zomato.com/ncr/hamoni-cafe-by-the-greens-sector-23-gurgaon/info
Smoke House Deli,"M3M International Financial Center, Gurgaon",4.3,1144,"Continental, European, Italian, Pizza, Healthy Food, Desserts, Cafe, Beverages","₹1,800 for two","Shop R3 025, Ground & Mezzanine Floor, M3M IFC, Badshahpur, Sector 66, Gurgaon",917838894896,https://www.zomato.com/ncr/smoke-house-deli-sector-66-gurgaon/info
Balloch,"Sector 49, Noida",4.5,494,"North Indian, Kebab, Mughlai, Biryani, Chinese, Oriental, Beverages, Desserts","₹1,200 for two","K-8, Sector 49, Noida",919205780775,https://www.zomato.com/ncr/balloch-sector-49-noida/info
KANDY Rooftop Cafe,"Sector 5, Dwarka, New Delhi",3.6,105,"North Indian, Continental, Chinese, Asian, Italian, Desserts, Sushi, Pizza","₹1,800 for two","Plot 6, 3rd Floor, Mlu, Hl Square, Sector 5, Dwarka, New Delhi",918882443288,https://www.zomato.com/ncr/kandy-rooftop-cafe-sector-5-dwarka-new-delhi/info
Cafe C Terrace - Zone Connect By The Park,"Saket, New Delhi",4.3,86,"North Indian, Pizza, Pasta, Thai, Coffee, Chinese, Continental, Beverages","₹2,000 for two","A/1, Saket, New Delhi",919821153458,https://www.zomato.com/ncr/cafe-c-terrace-zone-connect-by-the-park-saket-new-delhi/info
Snowberry Artisanal Desserts,"Connaught Place, New Delhi",3.4,144,"Ice Cream, Desserts, Shake",₹300 for two,"72, Municipal Market, Connaught Place, New Delhi",918368833680,https://www.zomato.com/ncr/snowberry-artisanal-desserts-connaught-place-new-delhi/info
Gin & Juliet,"M3M Urbana, Golf Course Extension, Gurgaon",3.8,822,"Chinese, Continental","₹2,000 for two","M3M URBANA, Ramgarh, Sector 66, Gurgaon",917464930103,https://www.zomato.com/ncr/gin-juliet-sector-66-gurgaon/info
Peach,"Sector 98, Noida",4.1,285,"Continental, Salad, Chinese, Beverages","₹1,500 for two","Unit 101, Plot C-2, 3rd Floor, E Square, Sec 96, Noida, Sector 98, Noida",919717404104,https://www.zomato.com/ncr/peach-sector-98-noida/info
Pastiche,"32nd Avenue, Milestone, Gurgaon",4.2,71,"Continental, Desserts, Salad","₹2,300 for two","Milestone, Highline, 32nd Avenue, Sector 15 Part 2, Sector 15, Gurgaon",919818494059,https://www.zomato.com/ncr/pastiche-sector-15-gurgaon/info
Big Yellow Door,"Hajipur, Noida",4.3,252,"Pizza, Italian, Burger, Pasta, Mexican, Sandwich, Desserts, Beverages","₹1,300 for two","DM-01, 2nd Floor, Hajipur, Noida",917011451925,https://www.zomato.com/big-yellow-door-hajipur-noida/info
The Barbeque Company,"Sector 85, Gurgaon",4,1044,"North Indian, Chinese, Desserts","₹1,600 for two","Second Floor, Block - B, Iris Broadway, Sector 85, Gurgaon",919319194690,https://www.zomato.com/ncr/the-barbeque-company-sector-85-gurgaon/info
Whiskers - Grand View,"Sector 58, Gurgaon",4,268,"Bar Food, North Indian, Kebab, Pizza, Mexican, Japanese, Chinese, Desserts","₹3,000 for two","Unit 21 A, 2nd Floor, Grand Hyatt Complex, Golf Course Extension Road, Sector 58, Gurgaon",918800027695,https://www.zomato.com/ncr/whiskers-grand-view-2-sector-58-gurgaon/info
Silbuttah - The Indian Story by Berco's,"Vishal Enclave, New Delhi",4.7,988,"North Indian, Mughlai, Kebab","₹1,300 for two","F-90, First & Second Floor, Vishal Enclave, Rajouri Garden, New Delhi",919599620282,https://www.zomato.com/ncr/silbuttah-the-indian-story-by-bercos-rajouri-garden-new-delhi/info
Jamie Oliver Kitchen,"Ambience Mall, DLF Phase 3, Gurgaon",4.5,728,"Italian, Pizza, Burger, Bar Food","₹1,200 for two","3th Floor, Fun City, Ambience Mall DLF Phase 3, Gurgaon",919599180116,https://www.zomato.com/ncr/jamie-oliver-kitchen-dlf-phase-3-gurgaon/info
Modern Grill,"Paschim Vihar, New Delhi",4.2,243,"North Indian, Chinese, Kebab, Beverages, Asian","₹1,800 for two","PLOT No. 1, COMMUNITY CENTER BLOCK-A GROUND FLOOR, AND FIRST FLOOR, VIKAS CHAMBERS TOWER, ARSS MALL PASCHIM VIHAR, PUNJABI BAGH, Paschim Vihar, New Delhi",919958312555,https://www.zomato.com/ncr/modern-grill-2-paschim-vihar-new-delhi/info
Noidawery,"Sector 63, Noida",4.4,5147,"Finger Food, Italian, Continental, Beverages","₹1,400 for two","H-1/A 31, H Block, Commercial Market, Sector 63, Noida",919599299033,https://www.zomato.com/ncr/noidawery-sector-63-noida/info
Galaxy Pizza,"Lajpat Nagar 1, New Delhi",4.1,46,Pizza,"₹1,500 for two","E-179, Krishna Nagar, Lajpat Nagar 1, New Delhi",911140157090,https://www.zomato.com/ncr/galaxy-pizza-lajpat-nagar-1-new-delhi/info
Chai Point,"Sector 72, Noida",3.7,50,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts, Cafe",₹400 for two,"Ground Floor, Tower-A Dhani, Southern Peripheral Road, Near Tata Primanti, Sector 72, Noida",918880141000,https://www.zomato.com/ncr/chai-point-1-sector-72-noida/info
Bell Botum Cocktail Bar & Kitchen,"DLF Galleria, DLF Phase 4, Gurgaon",4.4,340,"Continental, Mediterranean, Oriental, North Indian","₹2,000 for two","R2, Second Floor, Galleria Market, DLF Phase 4, Gurgaon",919205190405,https://www.zomato.com/ncr/bell-botum-cocktail-bar-kitchen-dlf-phase-4-gurgaon/info
Sevilla - The Claridges,"The Claridges, Aurangzeb Road, New Delhi",4.5,1747,"Moroccan, European, Mediterranean, Pizza, Desserts, Seafood","₹6,000 for two","The Claridges, 12, Dr. APJ Abdul Kalam Road, New Delhi",911139555096,https://www.zomato.com/ncr/sevilla-the-claridges-dr-apj-abdul-kalam-road/info
Spize Barbeque,"Hajipur, Noida",3.9,431,"North Indian, BBQ, Italian, Salad, Desserts","₹2,500 for two","2nd Floor, Kesri Plaza, Sector 104, Vishwakarma Road, Hajipur, Noida",919205669222,https://www.zomato.com/ncr/spize-barbeque-hajipur-noida/info
Open Tap,"Sector 49, Gurgaon",4.5,1917,"Finger Food, North Indian, Chinese, Italian, Bar Food","₹2,500 for two","Vatika Business Park, Sector 49, Gurgaon",918800669652,https://www.zomato.com/ncr/open-tap-sector-49/info
Capital Kitchen - Taj Palace,"Taj Palace, Chanakyapuri, New Delhi",4,378,"North Indian, European, Asian","₹5,500 for two","Taj Palace 2, Sardar Patel Marg, Chanakyapuri, New Delhi",911126110202,https://www.zomato.com/ncr/capital-kitchen-taj-palace-chanakyapuri-new-delhi/info
Lha Kitchen,"Safdarjung, New Delhi",4.1,571,"Tibetan, Nepalese, Chinese, Beverages, Momos","₹1,100 for two","168, 1st Floor, Humayunpur, Main Enclave, Near NCC Gate, Safdarjung, New Delhi",911141254905,https://www.zomato.com/ncr/lha-kitchen-safdarjung-new-delhi/info
Miss Doozy,"Greater Kailash 3 (GK3), New Delhi",4.6,1524,"North Indian, Biryani, Italian, Bar Food, Chinese, Shake, Beverages","₹1,000 for two","19, 20, 21, Ground Floor, DLF Centre Savitri Complex, Greater Kailash 3 (GK 3), New Delhi, Greater Kailash 3 (GK 3), New Delhi, Greater Kailash 3 (GK 3), New Delhi",918800597072,https://www.zomato.com/ncr/miss-doozy-greater-kailash-gk-3-new-delhi/info
Reflex,"M3M International Financial Center, Gurgaon",4.5,1145,"North Indian, Continental, Chinese, Italian, European, Sushi, Biryani, Beverages","₹2,500 for two","M3M International Financial Center, Sector 66, Gurgaon",918515898989,https://www.zomato.com/ncr/reflex-sector-66-gurgaon/info
Dwarka SYD Rooftop Cafe,"Sector 12, Dwarka, New Delhi",4,646,"Chinese, Fast Food, North Indian, Sandwich, Salad, Pizza, Pasta, Burger","₹1,100 for two","Plot 03, Manish Metro Plaza, Sector 12, Dwarka, New Delhi",919289709991,https://www.zomato.com/ncr/dwarka-syd-rooftop-cafe-sector-12-dwarka-new-delhi/info
ABB - Andrea's Bar & Brasserie,"Khan Market, New Delhi",4.5,1111,"Pizza, Asian, Sushi, Salad, Pasta, Italian, Burger, Mexican","₹2,500 for two","Shop 12, Middle Lane, Khan Market, New Delhi",918588823871,https://www.zomato.com/ncr/abb-andreas-bar-brasserie-khan-market-new-delhi/info
Bakebook Bakery,"Anand Vihar, New Delhi",4.3,497,"Bakery, Cafe, Coffee, Shake, Beverages, Desserts, Fast Food, Ice Cream",₹600 for two,"78, Rishabh Vihar, Maharaja Surajmal Marg, Near Anand Vihar, New Delhi",919773889591,https://www.zomato.com/ncr/bakebook-bakery-anand-vihar-new-delhi/info
Grillardin,"M3M International Financial Center, Gurgaon",4.6,322,"European, Healthy Food, Modern Indian, Mediterranean, Desserts, Beverages","₹2,000 for two","1st Floor, M3M IFC, Badshahpur, Sector 66, Gurgaon",919667715068,https://www.zomato.com/ncr/grillardin-sector-66-gurgaon/info
Angel Royall Pizza & More,"Sector 129, Noida",3.5,6,"Pizza, Burger, Sandwich, Pasta, Rolls, Fast Food, Street Food, Beverages",₹350 for two,"Shop 21, Shahpur, Gali 57 - 25, Sector 128, Near Shahpur Market Water Tank, Sector 129, Noida",919936884372,https://www.zomato.com/ncr/angel-royall-pizza-more-sector-129-noida/info
That Andhra Guy,"South City 1, Gurgaon",3.8,19,"South Indian, Biryani, Andhra, Chettinad",₹900 for two,"Building 105, South City 1, Gurgaon",919649197197,https://www.zomato.com/ncr/that-andhra-guy-south-city-1-gurgaon/info
Cosy Box,"One Golden Mile, Netaji Nagar, New Delhi",4.1,193,"Asian, Italian, Turkish, Japanese, European, Mediterranean, Kebab, Desserts","₹3,000 for two","One Golden Mile, Block A, Netaji Nagar, New Delhi",918375939495,https://www.zomato.com/ncr/cosy-box-netaji-nagar-new-delhi/info
Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,"Worldmark 1, Aerocity, New Delhi",4.3,1565,"North Indian, Mughlai, Biryani, Desserts","₹1,600 for two","Shop R1, Lower Ground Floor, The Walk, Worldmark 1, Aerocity, New Delhi",911143063679,https://www.zomato.com/ncr/daryaganj-by-the-inventors-of-butter-chicken-and-dal-makhani-aerocity-new-delhi/info
Pinch Of Spice,"Sector 10, Dwarka, New Delhi",4.5,2013,"North Indian, Mughlai, Chinese, Continental, Fast Food, Biryani, Desserts, Pasta","₹1,700 for two","Plot 18, 3rd Floor, Wadhwa Plaza-3, Central Market, Sector 10, Dwarka, New Delhi",919311966696,https://www.zomato.com/ncr/pinch-of-spice-sector-10-dwarka-new-delhi/info
The Black Coffee Cafe,"Sector 62, Noida",3.8,113,"Cafe, Coffee, Wraps, Sandwich, Pizza, Pasta, Mexican, Beverages",₹800 for two,"A-01, Ithum Tower A, Plot A 40, Sector 62, Noida",919629670247,https://www.zomato.com/ncr/the-black-coffee-cafe-sector-62-noida/info
TBSP - Tablespoon,"DLF Avenue, Saket, New Delhi",4.6,1469,"American, Italian, Desserts, BBQ, Pizza, Pasta, Burger","₹2,000 for two","Shop 167 - 168, Ground Floor, DLF Avenue, Saket, New Delhi",919821002551,https://www.zomato.com/ncr/tbsp-tablespoon-saket-new-delhi/info
Soul Barcelona,"M3M International Financial Center, Gurgaon",4.2,618,"Asian, Mediterranean, North Indian","₹1,800 for two","M3M IFC, Badshahpur, Sector 66, Gurgaon",917827692341,https://www.zomato.com/ncr/soul-barcelona-sector-66-gurgaon/info
Buho - Culinary Bar,"Sector 81, Faridabad",4.4,566,"Continental, Asian, North Indian, Tex-Mex, Fast Food, Chinese, Beverages","₹2,800 for two","AR-301, 81 High Street, Sector 81, Faridabad",919599191566,https://www.zomato.com/ncr/buho-culinary-bar-sector-81-faridabad/info
Dragonfly Experience,"Worldmark 1, Aerocity, New Delhi",4.4,1777,"European, Asian, Modern Indian, Pizza, Bar Food, Desserts, Beverages","₹3,000 for two","Worldmark 1, Aerocity, New Delhi",917303759995,https://www.zomato.com/ncr/dragonfly-experience-aerocity-new-delhi/info
Toscano,"Saket, New Delhi",4.5,177,"Italian, Pasta, Pizza, Steak, Desserts, Coffee","₹1,800 for two","S-44, 2nd Floor, Nexus Select City Walk, MGF Saket Driveway, Saket, New Delhi",917022305471,https://www.zomato.com/ncr/toscano-2-saket-new-delhi/info
Cafe Aurika,"Sushant Lok, Gurgaon",4.1,1379,"Cafe, Fast Food, Beverages, Sandwich, Desserts","₹1,200 for two","14, Sector 30, Block C, Sushant Lok Phase 1, Near Sushant Lok, Gurgaon",918826002788,https://www.zomato.com/ncr/cafe-aurika-sushant-lok-gurgaon/info
Drink And Dine,"Sector 75, Noida",4,363,"North Indian, Mughlai, Salad, Desserts, Chinese, Beverages","₹1,500 for two","FOF 23D, FOF 24, 4th Floor, Plot C&D, Gautam Buddha Nagar, Sector 75, Noida",91919205888107,https://www.zomato.com/ncr/drink-and-dine-sector-75-noida/info
Kutumbh,"Karkardooma, New Delhi",4.3,156,"North Indian, Biryani, Kebab, Chinese, Desserts, Beverages, Rolls, Salad","₹1,200 for two","Shop 7, Ground Floor, SK Infinity Mall, Karkardooma, New Delhi",919810254476,https://www.zomato.com/ncr/kutumbh-karkardooma-new-delhi/info
CASA Pasta Bar,"Hauz Khas, New Delhi",4,72,"Pasta, Coffee, Pizza, Continental, Beverages","₹2,200 for two","G-9, 1st Floor, Hauz Khas, New Delhi",919818229214,https://www.zomato.com/ncr/casa-pasta-bar-hauz-khas-new-delhi/info
Bulach,"Qutub Hotel , New Delhi",3.7,131,"Middle Eastern, Mediterranean, Turkish, European","₹4,000 for two","Qutab Hotel, Shaheed Jeet Singh Marg, Block C, Qutab Institutional Area, New Delhi",919811494913,https://www.zomato.com/ncr/bulach-qutab-institutional-area-new-delhi/info
Boa Village,"Civil Lines, New Delhi",4.3,2558,"Asian, Japanese, Korean, Chinese, Momos, Thai, Sichuan, Beverages","₹3,500 for two","13, Alipur Road, Civil Lines, New Delhi",011 66103865,https://www.zomato.com/ncr/boa-village-civil-lines-new-delhi/info
F Bar By Fashion TV,"Sector 132, Noida",4.3,75,"Bar Food, North Indian, Italian, Continental, Mughlai, Seafood, Kebab, Fast Food","₹2,000 for two","Shop 22 To 40, Plot C1-D1, Paras One 33, 2nd Floor, Noida Expressway, Sector 132, Noida",918655675621,https://www.zomato.com/ncr/f-bar-by-fashion-tv-sector-132-noida/info
Harajuku Tokyo Cafe,"Select Citywalk Mall, Saket, New Delhi",3.8,1231,"Asian, Japanese, Sushi, Coffee, Sandwich, Bakery, Desserts, Beverages","₹1,500 for two","F-40, First Floor, Select City Walk Mall, Saket, New Delhi",919560709104,https://www.zomato.com/ncr/harajuku-tokyo-cafe-saket-new-delhi/info
Dana Choga Reserve,"Sector 59, Gurgaon",4.1,83,"North Indian, Mughlai, Kebab, Chinese, Asian, Desserts","₹1,100 for two","1st Floor, Ireo City Central, Sector 59, Gurgaon",919266777685,https://www.zomato.com/ncr/dana-choga-reserve-sector-59-gurgaon/info
Atrium Deli - Ramada,"Ramada Gurgaon Central, Sector 44, Gurgaon",3.9,410,"North Indian, Italian, Continental","₹3,000 for two","Ramada Gurgaon Central, Site 2, Sector 44, Gurgaon",919717599224,https://www.zomato.com/ncr/atrium-deli-ramada-sector-44-gurgaon/info
Le Cantine,"DLF Promenade Mall, Vasant Kunj, New Delhi",4.4,1256,"European, Mediterranean, Italian, Desserts, Beverages, Burger, Pizza","₹1,800 for two","Shop 301 - 301 A, 2nd Floor, DLF Promenade Mall, Vasant Kunj, New Delhi",919319196961,https://www.zomato.com/ncr/le-cantine-vasant-kunj-new-delhi/info
VEER JI MALAI CHAAP WALE,"Sector 12, Noida",4,59,"North Indian, Biryani, Chinese, Burger, Rolls, Beverages",₹450 for two,"349C, Shop 5, Y Block, Near HP Petrol Pump, Sector 12, Noida",918368112591,https://www.zomato.com/ncr/veer-ji-malai-chaap-wale-4-sector-12-noida/info
Sky Rozo,"Janakpuri, New Delhi",4.3,610,"Asian, Continental, North Indian, Biryani, Chinese, European, Italian, Desserts","₹1,600 for two","Plot 625, 3rd Floor, B1 Road, Janakpuri, New Delhi",918795879595,https://www.zomato.com/ncr/sky-rozo-janakpuri-new-delhi/info
Oryn Cafe & Bistro,"Sector 15, Faridabad",4,193,"Cafe, Coffee, Burger, Italian, Shawarma, Pizza","₹1,000 for two","Shop 26/27/28, Sector 15, Faridabad",919971617717,https://www.zomato.com/ncr/oryn-cafe-bistro-sector-15-faridabad/info
Rose Cafe,"Eldeco Centre, New Delhi",3.9,3541,"Cafe, Italian, Continental, Mediterranean, Fast Food, Beverages, Desserts","₹1,700 for two","Ground Floor, Eldeco Centre, Metro station Gate-3, Malviya Nagar, New Delhi",919899055665,https://www.zomato.com/ncr/rose-cafe-malviya-nagar-new-delhi/info
